//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 3-22-2015
//--  Time: 15:24
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490.0 Ohms
//--    Temperature1: 0.0(C), 	Resistance 1: 94000.0 Ohms 
//--    Temperature2: 50.0(C), 	Resistance 2: 11000.0 Ohms 
//--    Temperature3: 98.0(C), 	Resistance 3: 2370.0 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
516	204.12	2041 	2.520
517	203.87	2039 	2.524
518	203.62	2036 	2.529
519	203.37	2034 	2.534
520	203.12	2031 	2.539
521	202.88	2029 	2.544
522	202.63	2026 	2.549
523	202.38	2024 	2.554
524	202.13	2021 	2.559
525	201.89	2019 	2.563
526	201.64	2016 	2.568
527	201.39	2014 	2.573
528	201.15	2011 	2.578
529	200.90	2009 	2.583
530	200.65	2007 	2.588
531	200.41	2004 	2.593
532	200.16	2002 	2.598
533	199.91	1999 	2.603
534	199.67	1997 	2.607
535	199.42	1994 	2.612
536	199.18	1992 	2.617
537	198.93	1989 	2.622
538	198.69	1987 	2.627
539	198.44	1984 	2.632
540	198.20	1982 	2.637
541	197.95	1980 	2.642
542	197.71	1977 	2.646
543	197.46	1975 	2.651
544	197.22	1972 	2.656
545	196.97	1970 	2.661
546	196.73	1967 	2.666
547	196.48	1965 	2.671
548	196.24	1962 	2.676
549	196.00	1960 	2.681
550	195.75	1958 	2.686
551	195.51	1955 	2.690
552	195.27	1953 	2.695
553	195.02	1950 	2.700
554	194.78	1948 	2.705
555	194.54	1945 	2.710
556	194.29	1943 	2.715
557	194.05	1940 	2.720
558	193.81	1938 	2.725
559	193.56	1936 	2.729
560	193.32	1933 	2.734
561	193.08	1931 	2.739
562	192.83	1928 	2.744
563	192.59	1926 	2.749
564	192.35	1923 	2.754
565	192.11	1921 	2.759
566	191.86	1919 	2.764
567	191.62	1916 	2.769
568	191.38	1914 	2.773
569	191.14	1911 	2.778
570	190.89	1909 	2.783
571	190.65	1907 	2.788
572	190.41	1904 	2.793
573	190.17	1902 	2.798
574	189.93	1899 	2.803
575	189.68	1897 	2.808
576	189.44	1894 	2.813
577	189.20	1892 	2.817
578	188.96	1890 	2.822
579	188.72	1887 	2.827
580	188.48	1885 	2.832
581	188.23	1882 	2.837
582	187.99	1880 	2.842
583	187.75	1878 	2.847
584	187.51	1875 	2.852
585	187.27	1873 	2.856
586	187.03	1870 	2.861
587	186.79	1868 	2.866
588	186.54	1865 	2.871
589	186.30	1863 	2.876
590	186.06	1861 	2.881
591	185.82	1858 	2.886
592	185.58	1856 	2.891
593	185.34	1853 	2.896
594	185.10	1851 	2.900
595	184.86	1849 	2.905
596	184.61	1846 	2.910
597	184.37	1844 	2.915
598	184.13	1841 	2.920
599	183.89	1839 	2.925
600	183.65	1837 	2.930
601	183.41	1834 	2.935
602	183.17	1832 	2.939
603	182.93	1829 	2.944
604	182.69	1827 	2.949
605	182.45	1824 	2.954
606	182.20	1822 	2.959
607	181.96	1820 	2.964
608	181.72	1817 	2.969
609	181.48	1815 	2.974
610	181.24	1812 	2.979
611	181.00	1810 	2.983
612	180.76	1808 	2.988
613	180.52	1805 	2.993
614	180.28	1803 	2.998
615	180.03	1800 	3.003
616	179.79	1798 	3.008
617	179.55	1796 	3.013
618	179.31	1793 	3.018
619	179.07	1791 	3.022
620	178.83	1788 	3.027
621	178.59	1786 	3.032
622	178.35	1783 	3.037
623	178.10	1781 	3.042
624	177.86	1779 	3.047
625	177.62	1776 	3.052
626	177.38	1774 	3.057
627	177.14	1771 	3.062
628	176.90	1769 	3.066
629	176.65	1767 	3.071
630	176.41	1764 	3.076
631	176.17	1762 	3.081
632	175.93	1759 	3.086
633	175.69	1757 	3.091
634	175.45	1754 	3.096
635	175.20	1752 	3.101
636	174.96	1750 	3.105
637	174.72	1747 	3.110
638	174.48	1745 	3.115
639	174.23	1742 	3.120
640	173.99	1740 	3.125
641	173.75	1737 	3.130
642	173.51	1735 	3.135
643	173.26	1733 	3.140
644	173.02	1730 	3.145
645	172.78	1728 	3.149
646	172.54	1725 	3.154
647	172.29	1723 	3.159
648	172.05	1721 	3.164
649	171.81	1718 	3.169
650	171.56	1716 	3.174
651	171.32	1713 	3.179
652	171.08	1711 	3.184
653	170.83	1708 	3.188
654	170.59	1706 	3.193
655	170.35	1703 	3.198
656	170.10	1701 	3.203
657	169.86	1699 	3.208
658	169.61	1696 	3.213
659	169.37	1694 	3.218
660	169.13	1691 	3.223
661	168.88	1689 	3.228
662	168.64	1686 	3.232
