//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 7-11-2014
//--  Time: 21:16
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:linearGenerator
//-- Table Identifier:002//-- generated by Custom linear generator using user input data:
//-- Volts:0, 5     AFR:10, 20
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
518	15.06	151 	2.529
519	15.07	151 	2.534
520	15.08	151 	2.539
521	15.09	151 	2.544
522	15.10	151 	2.549
523	15.11	151 	2.554
524	15.12	151 	2.559
525	15.13	151 	2.563
526	15.14	151 	2.568
527	15.15	151 	2.573
528	15.16	152 	2.578
529	15.17	152 	2.583
530	15.18	152 	2.588
531	15.19	152 	2.593
532	15.20	152 	2.598
533	15.21	152 	2.603
534	15.21	152 	2.607
535	15.22	152 	2.612
536	15.23	152 	2.617
537	15.24	152 	2.622
538	15.25	153 	2.627
539	15.26	153 	2.632
540	15.27	153 	2.637
541	15.28	153 	2.642
542	15.29	153 	2.646
543	15.30	153 	2.651
544	15.31	153 	2.656
545	15.32	153 	2.661
546	15.33	153 	2.666
547	15.34	153 	2.671
548	15.35	154 	2.676
549	15.36	154 	2.681
550	15.37	154 	2.686
551	15.38	154 	2.690
552	15.39	154 	2.695
553	15.40	154 	2.700
554	15.41	154 	2.705
555	15.42	154 	2.710
556	15.43	154 	2.715
557	15.44	154 	2.720
558	15.45	154 	2.725
559	15.46	155 	2.729
560	15.47	155 	2.734
561	15.48	155 	2.739
562	15.49	155 	2.744
563	15.50	155 	2.749
564	15.51	155 	2.754
565	15.52	155 	2.759
566	15.53	155 	2.764
567	15.54	155 	2.769
568	15.55	155 	2.773
569	15.56	156 	2.778
570	15.57	156 	2.783
571	15.58	156 	2.788
572	15.59	156 	2.793
573	15.60	156 	2.798
574	15.61	156 	2.803
575	15.62	156 	2.808
576	15.63	156 	2.813
577	15.63	156 	2.817
578	15.64	156 	2.822
579	15.65	157 	2.827
580	15.66	157 	2.832
581	15.67	157 	2.837
582	15.68	157 	2.842
583	15.69	157 	2.847
584	15.70	157 	2.852
585	15.71	157 	2.856
586	15.72	157 	2.861
587	15.73	157 	2.866
588	15.74	157 	2.871
589	15.75	158 	2.876
590	15.76	158 	2.881
591	15.77	158 	2.886
592	15.78	158 	2.891
593	15.79	158 	2.896
594	15.80	158 	2.900
595	15.81	158 	2.905
596	15.82	158 	2.910
597	15.83	158 	2.915
598	15.84	158 	2.920
599	15.85	158 	2.925
600	15.86	159 	2.930
601	15.87	159 	2.935
602	15.88	159 	2.939
603	15.89	159 	2.944
604	15.90	159 	2.949
605	15.91	159 	2.954
